source,target,value
Reduced,Rhodobacteraceae,6
Reduced,SAR116 clade,6
Reduced,Halieaceae,5
Reduced,Others,15
Rhodobacteraceae,Planktomarina,2
Rhodobacteraceae,Nereida,1
Rhodobacteraceae,Lentibacter,1
Rhodobacteraceae,Yoonia-Loktanella,1
Rhodobacteraceae,other_Rhodobacteraceae,1
SAR116 clade,Candidatus Puniceispirillum,5
SAR116 clade,other_SAR116_clade,1
Halieaceae,OM60(NOR5) clade,3
Halieaceae,Luminiphilus,1
Halieaceae,other_Halieaceae,1
